,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
C4_67C Dust t1,3.489,187344.794,3422.288,1574.413,3623.789,5537.203,1280.721,68.104,2.820,28.436,1476.776,2.222,4.558,5.084,45.248,2.051,30.904,2.958,0.115,27.338,4.766
C4_67C Dust t2,3.736,182012.487,4070.331,1462.964,3291.615,5590.592,1501.966,67.496,2.701,30.687,1747.976,2.741,5.888,5.659,108.457,2.265,34.478,2.759,0.079,30.188,5.131
C4_67C Dust t3,3.491,184623.754,4640.569,1703.304,3746.638,5797.449,1681.268,65.633,2.793,37.677,2109.240,3.314,7.938,7.562,117.346,2.695,38.625,2.902,0.133,34.946,5.800
C4_67C Dust t4,4.405,183943.322,5229.981,1485.501,3338.153,5544.740,1841.043,47.803,2.544,45.986,2256.258,3.746,7.253,7.091,50.092,3.143,39.274,2.894,0.124,37.274,6.951
C4_67C Dust t7,4.352,183241.262,5561.913,1558.810,3440.267,5832.099,2011.980,48.730,2.411,45.899,2478.006,4.262,7.697,7.170,41.291,3.376,43.441,3.110,0.130,39.134,7.073
C4_67C Dust t9,5.031,178038.064,5985.002,1940.118,5724.093,5857.462,2150.517,64.625,2.989,52.555,2961.749,4.637,8.984,8.434,33.647,3.491,46.590,3.308,0.123,46.365,7.562
C4_67C Dust t15,5.552,180624.622,5893.900,1661.001,3940.961,5705.384,2189.455,73.668,2.760,58.856,2737.311,4.434,8.714,9.427,45.644,4.570,49.059,3.439,0.190,49.657,7.614
C4_67C Dust t18,6.054,187139.405,5881.087,1466.334,3978.506,5731.170,2224.452,102.541,2.597,60.235,2607.054,4.261,8.691,7.077,33.209,4.758,49.868,3.390,0.111,50.840,7.093
C4_67C Dust t23,4.894,176274.233,7019.055,1782.100,3888.030,5930.964,2663.380,63.137,4.072,78.195,3194.742,5.433,9.841,8.131,35.705,4.385,53.640,3.321,0.148,59.313,8.349
C4_67C Dust t42,5.234,187201.114,7355.086,1693.561,4835.749,6070.776,2860.927,48.393,2.607,74.603,3139.289,5.440,9.439,8.706,24.368,5.159,59.522,3.649,0.147,74.546,8.306
Rinse,,,,,,,,,,,,,,,,,,,,,
Ref5164a,,,,,,,,,,,,,,,,,,,,,
Ref5088,,,,,,,,,,,,,,,,,,,,,
Rinse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Blank,0.406,39.154,3.070,5.690,160.326,31.038,11.105,0.417,0.186,0.109,2.605,0.027,0.277,0.251,0.996,0.007,0.064,0.152,0.015,0.533,0.508
SH64B Dust t0,3.026,190795.309,12.479,21.320,1010.942,227.998,51.331,1.201,0.891,0.954,18.234,0.179,3.137,0.989,56.355,0.099,0.846,0.779,0.413,32.505,2.962
SH64B Dust t0.5,5.078,186199.874,3763.399,3086.080,6370.342,2073.354,1214.264,99.550,3.876,80.547,2314.466,2.968,8.592,8.868,111.263,1.271,20.639,0.726,0.297,105.966,7.342
SH64B Dust t1,4.585,187684.380,4898.437,3197.607,6849.383,2125.891,1545.109,158.375,4.598,83.646,2558.292,3.168,9.959,10.394,106.821,1.338,24.884,0.942,0.253,116.256,7.959
SH64B Dust t2,6.446,193183.191,4825.914,3551.193,7650.436,2119.131,1567.520,168.406,4.726,74.373,2472.257,2.904,9.647,8.757,89.889,1.420,26.865,0.883,0.255,130.884,7.795
